name,expirationDate,quantity,keywords,placement,hidden,,,
Ricotta cheese,,1,,other fridge,,,,
Kurdish Danish,,1,,pantry,,,,
chocolate chip cookie dough,,4,larabar,pantry candy shelf,,,,
buf cheese,,3,"buf cheese, mozzarella di buffala",refrigerator,,,,
feta,,1,organic sheep’s milk feta,refrigerator cheese drawer,,,,
queso fresco,7/23/25,1,,fridge,,,,
avocados ,,9,cados ,refrigerator veggie drawer,,,,
probiotics Kids,7/20/25,1,chewies,refrigerator,,,,
salami ,9/26/25,1,,fridge,,,,
taquitos,,1,,,TRUE,,,
Chicken Bone Broth,5/26/26,3,,garage freezer,,,,
silver hill bagels ,6/19/26,3,,laundry freezer ,,,,
English Muffins ,8/20/25,1,,laundry fridge ,,,,
buttermilk,6/12/25,1,organic valley,other fridge,,,,
Salad,,1,,,TRUE,,,
cinnamon roll toto,,0,,"Pantry, 2nd shelf from the top in the middle",,,,
mushrooms,,1,,,TRUE,,,
corn,,1,,,TRUE,,,
salty potatoes,,1,,,TRUE,,,
mashed sweet potatoes,,1,,,TRUE,,,
mashed potatoes,,1,,,TRUE,,,
crunchy potatoes,,1,,,TRUE,,,
Burgers,,1,Hamburgers,,TRUE,,,
Chicken,,1,,,TRUE,,,
Salmon,,1,,,TRUE,,,
Steak,,1,,,TRUE,,,
Snow Days Pizza Rolls - Pepperoni,6/10/26,2,"pizza rolls, snow days, pepperoni",laundry freezer ,,,,
Snow Days Pizza Rolls - Cheese ,5/12/26,4,"pizza rolls, snacks ",laundry freezer,,,,
mini Semisweet chocolate chips,6/5/26,5,"Enjoy life, dairy free","Pantry, middle shelf on the left",,,,
Brussel sprouts ,5/4/25,2,,the fridge ,,,,
garlic ,5/4/25,8,,out ,,,,
Lesser Evil popcorn ,9/13/25,1,,"pantry, top or second from top shelf on the left",,,,
semisweet chocolate chips,3/20/27,2,Guittard,,,,,
Brown Sugar,11/23/26,2,"light brown sugar, dark brown sugar",,,,,
tuna packet,,6,,,,,,
milkiest chocolate ice cream ,5/4/25,1,jenis,freezer,,,,
Baby carrots,,1,,,,,,
Pomegranate ,,2,,,,,,
frozen raspberries ,4/17/27,1.75,,"laundry freezer (1), kitchen freezer (.75)",,,,
